Location,Entry,NC_Cross,NC_Accession,Rep,Stand,Yield
LEW,1,X11077,N19001,1,44,3297.3
LEW,1,X11077,N19001,2,43,4749.3
RMT,1,X11077,N19001,1,54,5082.0
RMT,1,X11077,N19001,2,51,3448.5
LEW,2,X11083,N19002,1,41,3327.5
LEW,2,X11083,N19002,2,50,4507.3
RMT,2,X11083,N19002,1,54,5626.5
RMT,2,X11083,N19002,2,52,4598.0
LEW,3,X11093,N19003,1,41,4688.8
LEW,3,X11093,N19003,2,45,4961.0
RMT,3,X11093,N19003,1,52,4477.0
RMT,3,X11093,N19003,2,37,3720.8
LEW,4,X11095,N19004,1,32,3055.3
LEW,4,X11095,N19004,2,24,2692.3
RMT,4,X11095,N19004,1,34,4386.3
RMT,4,X11095,N19004,2,38,4023.3
LEW,5,X11100,N19005,1,36,4446.8
LEW,5,X11100,N19005,2,19,2571.3
RMT,5,X11100,N19005,1,43,4204.8
RMT,5,X11100,N19005,2,49,4114.0
LEW,6,X11100,N19006,1,51,5082.0
LEW,6,X11100,N19006,2,34,3630.0
RMT,6,X11100,N19006,1,52,4507.3
RMT,6,X11100,N19006,2,52,4386.3
LEW,7,X12001,N19007,1,43,3176.3
LEW,7,X12001,N19007,2,34,3993.0
RMT,7,X12001,N19007,1,55,4779.5
RMT,7,X12001,N19007,2,54,4235.0
LEW,8,X12002,N19008,1,33,3115.8
LEW,8,X12002,N19008,2,48,5203.0
RMT,8,X12002,N19008,1,55,5808.0
RMT,8,X12002,N19008,2,50,4658.5
LEW,9,X12003,N19009,1,44,4658.5
LEW,9,X12003,N19009,2,46,4325.8
RMT,9,X12003,N19009,1,49,5172.8
RMT,9,X12003,N19009,2,47,4204.8
LEW,10,X12003,N19010,1,42,4688.8
LEW,10,X12003,N19010,2,46,4900.5
RMT,10,X12003,N19010,1,49,5566.0
RMT,10,X12003,N19010,2,47,4235.0
LEW,11,X12005,N19011,1,49,4961.0
LEW,11,X12005,N19011,2,29,2994.8
RMT,11,X12005,N19011,1,51,5172.8
RMT,11,X12005,N19011,2,52,4507.3
LEW,12,X12008,N19012,1,36,4537.5
LEW,12,X12008,N19012,2,45,4446.8
RMT,12,X12008,N19012,1,50,4537.5
RMT,12,X12008,N19012,2,37,4809.8
LEW,13,X13009,N19013,1,29,3539.3
LEW,13,X13009,N19013,2,46,4900.5
RMT,13,X13009,N19013,1,45,4416.5
RMT,13,X13009,N19013,2,44,4477.0
LEW,14,X13009,N19014,1,19,2783.0
LEW,14,X13009,N19014,2,49,3418.3
RMT,14,X13009,N19014,1,48,6261.8
RMT,14,X13009,N19014,2,49,4083.8
LEW,15,X13009,N19015,1,29,3811.5
LEW,15,X13009,N19015,2,28,3236.8
RMT,15,X13009,N19015,1,54,4719.0
RMT,15,X13009,N19015,2,46,3509.0
LEW,16,X13009,N19016,1,35,3630.0
LEW,16,X13009,N19016,2,46,3902.3
RMT,16,X13009,N19016,1,50,5293.8
RMT,16,X13009,N19016,2,46,4598.0
LEW,17,X13011,N19017,1,35,4537.5
LEW,17,X13011,N19017,2,45,4144.3
RMT,17,X13011,N19017,1,48,4598.0
RMT,17,X13011,N19017,2,50,4325.8
LEW,18,X13011,N19018,1,41,4204.8
LEW,18,X13011,N19018,2,33,3841.8
RMT,18,X13011,N19018,1,53,4537.5
RMT,18,X13011,N19018,2,40,3630.0
LEW,19,X13011,N19019,1,37,4658.5
LEW,19,X13011,N19019,2,35,3569.5
RMT,19,X13011,N19019,1,51,5263.5
RMT,19,X13011,N19019,2,44,4235.0
LEW,20,X13013,N19020,1,30,3509.0
LEW,20,X13013,N19020,2,21,2389.8
RMT,20,X13013,N19020,1,48,4416.5
RMT,20,X13013,N19020,2,48,3206.5
LEW,21,X13013,N19021,1,32,3539.3
LEW,21,X13013,N19021,2,27,4356.0
RMT,21,X13013,N19021,1,51,6231.5
RMT,21,X13013,N19021,2,47,5112.3
LEW,22,X13013,N19022,1,36,3176.3
LEW,22,X13013,N19022,2,28,3176.3
RMT,22,X13013,N19022,1,52,5324.0
RMT,22,X13013,N19022,2,52,4537.5
LEW,23,X13017,N19023,1,43,3720.8
LEW,23,X13017,N19023,2,42,3599.8
RMT,23,X13017,N19023,1,47,4961.0
RMT,23,X13017,N19023,2,50,4204.8
LEW,24,X13017,N19024,1,52,5414.8
LEW,24,X13017,N19024,2,30,3115.8
RMT,24,X13017,N19024,1,50,4749.3
RMT,24,X13017,N19024,2,50,4840.0
LEW,25,X13017,N19025,1,48,3902.3
LEW,25,X13017,N19025,2,41,4446.8
RMT,25,X13017,N19025,1,51,5263.5
RMT,25,X13017,N19025,2,51,4840.0
LEW,26,X13017,N19026,1,49,5384.5
LEW,26,X13017,N19026,2,36,4598.0
RMT,26,X13017,N19026,1,47,4356.0
RMT,26,X13017,N19026,2,45,4749.3
LEW,27,X13018,N19027,1,36,3478.8
LEW,27,X13018,N19027,2,14,2420.0
RMT,27,X13018,N19027,1,52,4991.3
RMT,27,X13018,N19027,2,47,4144.3
LEW,28,X13018,N19028,1,35,4204.8
LEW,28,X13018,N19028,2,40,4295.5
RMT,28,X13018,N19028,1,53,3630.0
RMT,28,X13018,N19028,2,53,4930.8
LEW,29,X13038,N19029,1,29,2813.3
LEW,29,X13038,N19029,2,39,5112.3
RMT,29,X13038,N19029,1,53,5082.0
RMT,29,X13038,N19029,2,54,5051.8
LEW,30,X13038,N19030,1,42,4840.0
LEW,30,X13038,N19030,2,42,4386.3
RMT,30,X13038,N19030,1,53,5354.3
RMT,30,X13038,N19030,2,51,4446.8
LEW,31,X14076,N19031,1,47,3781.3
LEW,31,X14076,N19031,2,34,3115.8
RMT,31,X14076,N19031,1,49,4235.0
RMT,31,X14076,N19031,2,54,4235.0
LEW,32,X14076,N19032,1,40,3993.0
LEW,32,X14076,N19032,2,45,4930.8
RMT,32,X14076,N19032,1,42,4204.8
RMT,32,X14076,N19032,2,52,4749.3
LEW,33,X14076,N19033,1,29,3448.5
LEW,33,X14076,N19033,2,31,3599.8
RMT,33,X14076,N19033,1,44,4719.0
RMT,33,X14076,N19033,2,43,3478.8
LEW,34,X14076,N19034,1,37,3539.3
LEW,34,X14076,N19034,2,54,4204.8
RMT,34,X14076,N19034,1,49,5021.5
RMT,34,X14076,N19034,2,48,5142.5
LEW,35,X14076,N19035,1,34,3327.5
LEW,35,X14076,N19035,2,39,4174.5
RMT,35,X14076,N19035,1,46,5414.8
RMT,35,X14076,N19035,2,42,4174.5
LEW,36,X14079,N19036,1,30,3690.5
LEW,36,X14079,N19036,2,51,4598.0
RMT,36,X14079,N19036,1,49,4598.0
RMT,36,X14079,N19036,2,46,3690.5
LEW,37,X14080,N19037,1,38,4386.3
LEW,37,X14080,N19037,2,39,4053.5
RMT,37,X14080,N19037,1,55,5838.3
RMT,37,X14080,N19037,2,44,3478.8
LEW,38,X14080,N19038,1,42,4053.5
LEW,38,X14080,N19038,2,31,3690.5
RMT,38,X14080,N19038,1,49,4537.5
RMT,38,X14080,N19038,2,45,3993.0
LEW,39,X14080,N19039,1,46,4083.8
LEW,39,X14080,N19039,2,43,4628.3
RMT,39,X14080,N19039,1,45,4658.5
RMT,39,X14080,N19039,2,45,4235.0
LEW,40,X14084,N19040,1,34,3297.3
LEW,40,X14084,N19040,2,40,4114.0
RMT,40,X14084,N19040,1,45,4416.5
RMT,40,X14084,N19040,2,38,3418.3
LEW,41,X14088,N19041,1,26,2571.3
LEW,41,X14088,N19041,2,37,3962.8
RMT,41,X14088,N19041,1,36,4023.3
RMT,41,X14088,N19041,2,34,3297.3
LEW,42,X14097,N19042,1,46,4658.5
LEW,42,X14097,N19042,2,41,4386.3
RMT,42,X14097,N19042,1,43,3993.0
RMT,42,X14097,N19042,2,47,4083.8
LEW,43,X14097,N19043,1,39,3509.0
LEW,43,X14097,N19043,2,37,3206.5
RMT,43,X14097,N19043,1,42,4144.3
RMT,43,X14097,N19043,2,49,3872.0
LEW,44,X14098,N19044,1,42,3993.0
LEW,44,X14098,N19044,2,23,2692.3
RMT,44,X14098,N19044,1,46,4809.8
RMT,44,X14098,N19044,2,47,4235.0
LEW,45,X14098,N19045,1,45,4023.3
LEW,45,X14098,N19045,2,42,3932.5
RMT,45,X14098,N19045,1,52,3811.5
RMT,45,X14098,N19045,2,52,4204.8
LEW,46,X14098,N19046,1,46,4083.8
LEW,46,X14098,N19046,2,35,3630.0
RMT,46,X14098,N19046,1,50,3751.0
RMT,46,X14098,N19046,2,47,3115.8
LEW,47,X14104,N19047,1,32,4325.8
LEW,47,X14104,N19047,2,23,4749.3
RMT,47,X14104,N19047,1,52,3630.0
RMT,47,X14104,N19047,2,52,4083.8
LEW,48,X14104,N19048,1,27,2994.8
LEW,48,X14104,N19048,2,34,3690.5
RMT,48,X14104,N19048,1,52,4356.0
RMT,48,X14104,N19048,2,47,4567.8
LEW,49,X14104,N19049,1,38,3539.3
LEW,49,X14104,N19049,2,35,3962.8
RMT,49,X14104,N19049,1,38,2994.8
RMT,49,X14104,N19049,2,48,4325.8
LEW,50,X14108,N19050,1,46,4174.5
LEW,50,X14108,N19050,2,37,3357.8
RMT,50,X14108,N19050,1,48,4235.0
RMT,50,X14108,N19050,2,47,4235.0
